TL,metric,MT system,score
CA,BLEU,1a ,24.8
CA,BLEU,1b,23.1
CA,BLEU,2a ,25.6
CA,BLEU,2b,23.4
CA,BLEU,3a ,26
CA,BLEU,3b,25.4
CA,BLEU,3c,21.7
CA,BLEU,3d,25.3
CA,chrF,1a ,51.9
CA,chrF,1b,50.4
CA,chrF,2a ,52
CA,chrF,2b,50.8
CA,chrF,3a ,52.3
CA,chrF,3b,51.7
CA,chrF,3c,47.9
CA,chrF,3d,51.3
CA,TER,1a ,61.4
CA,TER,1b,63
CA,TER,2a ,60.6
CA,TER,2b,63
CA,TER,3a ,60.6
CA,TER,3b,61.3
CA,TER,3c,65.4
CA,TER,3d,61.2
CA,COMET,1a ,0.781
CA,COMET,1b,0.7687
CA,COMET,2a ,0.7744
CA,COMET,2b,0.7693
CA,COMET,3a ,0.7736
CA,COMET,3b,0.7703
CA,COMET,3c,0.7158
CA,COMET,3d,0.7576
CA,COMETQE,1a ,0.7857
CA,COMETQE,1b,0.7804
CA,COMETQE,2a ,0.7935
CA,COMETQE,2b,0.7753
CA,COMETQE,3a ,0.7908
CA,COMETQE,3b,0.788
CA,COMETQE,3c,0.7495
CA,COMETQE,3d,0.7714
CA,CSs,1a ,5
CA,CSs,1b,5
CA,CSs,2a ,4
CA,CSs,2b,6
CA,CSs,3a ,4
CA,CSs,3b,4
CA,CSs,3c,1
CA,CSs,3d,1
CA,ErrorPoints,1a ,199
CA,ErrorPoints,1b,158
CA,ErrorPoints,2a ,200
CA,ErrorPoints,2b,248
CA,ErrorPoints,3a ,204
CA,ErrorPoints,3b,202
CA,ErrorPoints,3c,393
CA,ErrorPoints,3d,261
CA,CI,1a ,-23.8
CA,CI,1b,-17
CA,CI,2a ,-25.8
CA,CI,2b,-30.1
CA,CI,3a ,-26.5
CA,CI,3b,-26.1
CA,CI,3c,-63.4
CA,CI,3d,-41.5
ES,BLEU,1a ,23
ES,BLEU,1b,22.3
ES,BLEU,2a ,23.2
ES,BLEU,2b,22
ES,BLEU,3a ,22.5
ES,BLEU,3b,22.7
ES,BLEU,3c,25.1
ES,BLEU,3d,NA
ES,chrF,1a ,51.1
ES,chrF,1b,50.3
ES,chrF,2a ,51
ES,chrF,2b,50.4
ES,chrF,3a ,49.9
ES,chrF,3b,50.2
ES,chrF,3c,51.7
ES,chrF,3d,NA
ES,TER,1a ,65
ES,TER,1b,64.7
ES,TER,2a ,64.5
ES,TER,2b,65.2
ES,TER,3a ,65.8
ES,TER,3b,65.2
ES,TER,3c,62.5
ES,TER,3d,NA
ES,COMET,1a ,0.7641
ES,COMET,1b,0.7482
ES,COMET,2a ,0.7567
ES,COMET,2b,0.765
ES,COMET,3a ,0.7569
ES,COMET,3b,0.7604
ES,COMET,3c,0.7714
ES,COMET,3d,NA
ES,COMETQE,1a ,0.8033
ES,COMETQE,1b,0.7918
ES,COMETQE,2a ,0.8
ES,COMETQE,2b,0.8049
ES,COMETQE,3a ,0.7983
ES,COMETQE,3b,0.7955
ES,COMETQE,3c,0.8078
ES,COMETQE,3d,NA
ES,CSs,1a ,6
ES,CSs,1b,10
ES,CSs,2a ,8
ES,CSs,2b,9
ES,CSs,3a ,12
ES,CSs,3b,13
ES,CSs,3c,1
ES,CSs,3d,NA
ES,ErrorPoints,1a ,253
ES,ErrorPoints,1b,219
ES,ErrorPoints,2a ,216
ES,ErrorPoints,2b,164
ES,ErrorPoints,3a ,244
ES,ErrorPoints,3b,166
ES,ErrorPoints,3c,237
ES,ErrorPoints,3d,NA
ES,CI,1a ,-30.9
ES,CI,1b,-17.9
ES,CI,2a ,-21.1
ES,CI,2b,-10.6
ES,CI,3a ,-18.3
ES,CI,3b,-3.5
ES,CI,3c,-22.7
ES,CI,3d,NA
NL,BLEU,1a ,28.9
NL,BLEU,1b,26.3
NL,BLEU,2a ,29.5
NL,BLEU,2b,29
NL,BLEU,3a ,28.6
NL,BLEU,3b,25
NL,BLEU,3c,31.8
NL,BLEU,3d,NA
NL,chrF,1a ,55.3
NL,chrF,1b,53.2
NL,chrF,2a ,56.3
NL,chrF,2b,55.9
NL,chrF,3a ,55.5
NL,chrF,3b,53.8
NL,chrF,3c,55.9
NL,chrF,3d,NA
NL,TER,1a ,55.8
NL,TER,1b,58.1
NL,TER,2a ,55.2
NL,TER,2b,55.7
NL,TER,3a ,56.8
NL,TER,3b,61.6
NL,TER,3c,54.3
NL,TER,3d,NA
NL,COMET,1a ,0.8254
NL,COMET,1b,0.8101
NL,COMET,2a ,0.8281
NL,COMET,2b,0.8248
NL,COMET,3a ,0.8253
NL,COMET,3b,0.8238
NL,COMET,3c,0.8257
NL,COMET,3d,NA
NL,COMETQE,1a ,0.8223
NL,COMETQE,1b,0.8037
NL,COMETQE,2a ,0.8252
NL,COMETQE,2b,0.8252
NL,COMETQE,3a ,0.8276
NL,COMETQE,3b,0.8163
NL,COMETQE,3c,0.8301
NL,COMETQE,3d,NA
NL,CSs,1a ,15
NL,CSs,1b,12
NL,CSs,2a ,11
NL,CSs,2b,13
NL,CSs,3a ,10
NL,CSs,3b,18
NL,CSs,3c,6
NL,CSs,3d,NA
NL,ErrorPoints,1a ,108
NL,ErrorPoints,1b,174
NL,ErrorPoints,2a ,99
NL,ErrorPoints,2b,108
NL,ErrorPoints,3a ,89
NL,ErrorPoints,3b,76
NL,ErrorPoints,3c,103
NL,ErrorPoints,3d,NA
NL,CI,1a ,9.8
NL,CI,1b,-6.7
NL,CI,2a ,3.9
NL,CI,2b,6.1
NL,CI,3a ,3.7
NL,CI,3b,20.7
NL,CI,3c,-6
NL,CI,3d,NA
ZH,BLEU,1a ,NA
ZH,BLEU,1b,NA
ZH,BLEU,2a ,NA
ZH,BLEU,2b,NA
ZH,BLEU,3a ,NA
ZH,BLEU,3b,NA
ZH,BLEU,3c,NA
ZH,BLEU,3d,NA
ZH,chrF,1a ,NA
ZH,chrF,1b,NA
ZH,chrF,2a ,NA
ZH,chrF,2b,NA
ZH,chrF,3a ,NA
ZH,chrF,3b,NA
ZH,chrF,3c,NA
ZH,chrF,3d,NA
ZH,TER,1a ,NA
ZH,TER,1b,NA
ZH,TER,2a ,NA
ZH,TER,2b,NA
ZH,TER,3a ,NA
ZH,TER,3b,NA
ZH,TER,3c,NA
ZH,TER,3d,NA
ZH,COMET,1a ,NA
ZH,COMET,1b,NA
ZH,COMET,2a ,NA
ZH,COMET,2b,NA
ZH,COMET,3a ,NA
ZH,COMET,3b,NA
ZH,COMET,3c,NA
ZH,COMET,3d,NA
ZH,COMETQE,1a ,0.8075
ZH,COMETQE,1b,0.6098
ZH,COMETQE,2a ,0.8089
ZH,COMETQE,2b,0.8093
ZH,COMETQE,3a ,0.8092
ZH,COMETQE,3b,0.8017
ZH,COMETQE,3c,0.8077
ZH,COMETQE,3d,NA
ZH,CSs,1a ,11
ZH,CSs,1b,10
ZH,CSs,2a ,11
ZH,CSs,2b,14
ZH,CSs,3a ,14
ZH,CSs,3b,15
ZH,CSs,3c,11
ZH,CSs,3d,NA
ZH,ErrorPoints,1a ,187
ZH,ErrorPoints,1b,298
ZH,ErrorPoints,2a ,155
ZH,ErrorPoints,2b,165
ZH,ErrorPoints,3a ,171
ZH,ErrorPoints,3b,161
ZH,ErrorPoints,3c,152
ZH,ErrorPoints,3d,NA
ZH,CI,1a ,-10.7
ZH,CI,1b,-31
ZH,CI,2a ,-5.4
ZH,CI,2b,-1.5
ZH,CI,3a ,-2.5
ZH,CI,3b,1
ZH,CI,3c,-4.9
ZH,CI,3d,NA
